REFERENCIA	DESCRIPCION_REF	STOCK_TOTAL_PORTABILIDAD	STOCK_DISPONIBLE_PORTABILIDAD	COMPROMETIDO_PORTABILIDAD	PENDIENTE_PORTABILIDAD	STOCK_TOTAL_NO_PORTABILIDAD	DISPONIBLE_NO_PORTABILIDAD	COMPROMETIDO_NO_PORTABILIDAD	PENDIENTE_NO_PORTABILIDAD
1010345	TARJETA INTERNACIONAL ORANGE 5EUR.PENÍNS	0	0	0	0	250	250	0	0
3600605	FUNDA SE JALOU	0	0	0	0	236	236	0	0
3600526	TARJETA MEMORIA NOKIA 2 GB 	0	0	0	0	227	227	0	0
3030189	HUAWEI E5832 MIFI UMTS SIG	0	0	0	0	222	210	12	0
3700280	CARGADOR COCHE MICRO USB (B1740CR01)	0	0	0	0	222	182	40	0
3600532	FUNDA BLACKBERRY 8100 ORANGE	0	0	0	0	220	220	0	0
3810086	WP POSPAGO RESIDENCIAL 64K HLR41	0	0	0	0	220	220	0	0
3600531	FUNDA BLACKBERRY 8100 DARK RED	0	0	0	0	219	219	0	0
3700312	FUNDA EASY NEG AROS IP(B9000FU05EASG05O)	0	0	0	0	219	185	34	0
3600527	MINIKIT PARROT E- SHOP	0	0	0	0	214	214	0	0
3600657	ALTAVOCES HTC REGALO ESHOP	0	0	0	0	213	213	0	0
3700288	TARJETA MEM. MICRO SD 8GB (MXTFSD8GBC2)	0	0	0	0	209	208	1	0
3600530	CARGADOR COCHE BLACKBERRY 8100	0	0	0	0	208	208	0	0
3200180	PACK HUAWEI E1552 NEGRO IWW PR	0	0	0	0	200	196	4	0
3700206	CARGADOR MECHERO HTC MINI USB CC C100	0	0	0	0	185	185	0	0
3700318	FUNDA PIEL MAR HAVANA IP(B9000FU63HAVIO)	0	0	0	0	183	173	10	0
3700317	FUNDA PIEL NEG HAVANA IP(B9000FU63HAVINO	0	0	0	0	180	172	8	0
3700319	FUNDA PIEL ROJ HAVANA IP(B9000FU63HAVIRO	0	0	0	0	178	174	4	0
3700287	TARJETA MEM. MICRO SD 4GB (MXTFSD4GBC2)	0	0	0	0	176	167	9	0
3600596	ALTAVOCES BB8100	0	0	0	0	149	149	0	0
3800053	PACK ONLY TARJETA BÁSICA PREPAGO 9 eur	0	0	0	0	134	107	27	0
3700299	FUNDA PIEL ROJO HAVANNA (B9000FU63HAVMR	0	0	0	0	126	126	0	0
3700286	TARJETA MEM. MICRO SD 2GB (MXTFSD2GBSA)	0	0	0	0	124	119	5	0
3700298	FUNDA PIEL MARRON HAVANNA (B9000FU63HAVM	0	0	0	0	123	118	5	0
3700295	FUNDA EASY ROJA AROS (B9000FU05EASG03)	0	0	0	0	116	113	3	0
3600524	KIT POLAR 	0	0	0	0	111	111	0	0
3700297	FUNDA EASY NEGRO FLOR (B9000FU05EASG18)	0	0	0	0	110	106	4	0
3100212	SIM REEMPLAZO ÚNICO MICRO-SIM	0	0	0	0	105	103	2	0
1010346	TARJETA INTERNACIONAL ORANGE 5EUR.CANARI	0	0	0	0	100	100	0	0
3100063	TARJETA SCRATCH 40 MÓVIL	0	0	0	0	99	99	0	0
3700309	ADAPTADOR SIM 2FF- 3FF (CAIRON)	0	0	0	0	85	85	0	0
3700311	FUNDA EASY NEGRA AROS (B9000FU05EASG01O)	0	0	0	0	76	60	16	0
3700219	tarjetas MicroSD LG de 4Gb	0	0	0	0	73	73	0	0
3700296	FUNDA EASY AZUL AROS (B9000FU05EASG04)	0	0	0	0	68	47	21	0
3810089	WP POSTPAGO 40 MÓVIL (HLR 41) 2009	0	0	0	0	64	64	0	0
3600597	AURICULAR MULTIMEDIA BB8520	0	0	0	0	61	61	0	0
3700221	TARJETAS 4 GB SAMSUNG	0	0	0	0	61	61	0	0
3600551	TARJETA REGALO ECI ESHOP	0	0	0	0	58	58	0	0
3800057	PACK SIM PREP DAT 3FF IEW 20,01 EUR 64K	0	0	0	0	57	53	4	0
3700217	CABLE MECHERO NOKIA DC6 MICRO USB	0	0	0	0	54	54	0	0
3600598	CASCOS SE AINO	0	0	0	0	50	50	0	0
3700281	CARGADOR COCHE SONYERICSSON (B3390CR01)	0	0	0	0	49	49	0	0
3700335	FUNDA SILICONA BLANCA BB(O98HDW24211003O	0	0	0	0	48	42	6	0
3700330	FUNDA SILICONA SAMSUNG WAVE (B8487FS01)	0	0	0	0	46	46	0	0
3700331	FUNDA PIEL NEG SAMSUNG WAVE(O8EFC969LBEC	0	0	0	0	46	46	0	0
3810063	WP POSTPAGO 40 MÓVIL (HLR 41)	0	0	0	0	45	45	0	0
3700278	CARGADOR COCHE NOKIA (B2700CR01)	0	0	0	0	45	34	11	0
3700220	TARJETAS 8 GB SAMSUNG	0	0	0	0	44	44	0	0
3700336	FUNDA PIEL NEGRA BB (O98HDW19862001O)	0	0	0	0	41	36	5	0
3700314	FUNDA GOLLA ROSA NOKIA X6 (BXGOLLG721)	0	0	0	0	40	40	0	0
3700315	FUNDA GOLLA NEGRA NOKIA X6 (BXGOLLG712) 	0	0	0	0	40	40	0	0
3030224	ZTE MF637 NEGRO IEW UMTS SIG	0	0	0	0	39	38	1	0
3700265	CARGADOR COCHE MOTOROLA MILESTONE	0	0	0	0	34	34	0	0
3700310	PROTECTOR PANTALLA BB 8520 (BXSCREEN16O)	0	0	0	0	31	28	3	0
3700218	tarjetas MicroSD LG de 8Gb	0	0	0	0	30	30	0	0
3700334	FUNDA SILICONA NEGRA BB	0	0	0	0	26	18	8	0
3700283	CARGADOR COCHE SAMSUNG (B8415CR01)	0	0	0	0	25	24	1	0
3700328	FUNDA SILICONA SAMSUNG STAR (B8000FS01)	0	0	0	0	21	19	2	0
3700282	CARGADOR COCHE LG (B4530CR01)	0	0	0	0	20	20	0	0
3700326	FUNDA SILICONA NOKIA 7230 (B2651FS01O)	0	0	0	0	20	19	1	0
3700323	FUNDA SILICONA NEGRA NOKIA X6(B2980FS01O	0	0	0	0	19	17	2	0
3700279	CARGADOR COCHE MINI USB (B1140CR01)	0	0	0	0	18	18	0	0
3700322	FUNDA SILICONA ROSA NOKIA X6(O2CC1001FO)	0	0	0	0	18	16	2	0
3700329	FUNDA SILICONA SAMSUNG ONIX (B8045FS01)	0	0	0	0	18	13	5	0
3600538	MP3 UNIMADE I-CUBE 512	0	0	0	0	17	17	0	0
3240172	ZTE MF637 NEGRO IEW+HP CQ610 POS M	0	0	0	0	17	16	1	0
3800051	PACK SIM FOR FREE 5EUR (FCAD 31/07/10)	0	0	0	0	16	-7	23	0
1080046	WP POSPAGO RESIDENCIAL 64K HLR14 ORANGE	0	0	0	0	15	15	0	0
3700327	FUNDA PIEL NEG SAMSUNG STAR (B8000FU70)	0	0	0	0	15	14	1	0
3700332	FUNDA SILICONA SAMSUNG GALAXYS(B8489FS01	0	0	0	0	12	11	1	0
3700324	FUNDA SILICONA ROSA NOKIA C3 (O2CC1004R)	0	0	0	0	12	6	6	0
3030196	HUAWEI E1752 NEGRO IEW UMTS SIG	0	0	0	0	11	11	0	0
3700321	FUNDA PIEL NOKIA X6 CP389 (O2CP389O)	0	0	0	0	11	9	2	0
3810118	WP 3FF POSTPAGO HLR 14	0	0	0	0	10	10	0	0
3700320	FUNDA PIEL RIGIDA VIEWTY(B9000FU05HSM03)	0	0	0	0	9	8	1	0
3810001	WP POSPAGO RESIDENCIAL 64K HLR20	0	0	0	0	9	0	9	0
3700338	FUNDA SILICONA BL BB9700(O98HDW27288001O	0	0	0	0	8	5	3	0
3700333	FUNDA PIEL SAMSUNG GALAXY S (B8489FU70)	0	0	0	0	6	6	0	0
3700325	FUNDA SILICONA NEGRA NOKIA C3(O2CC1004N)	0	0	0	0	6	5	1	0
3800056	PACK SIM FOR FREE 5EUR (FCAD 31/01/11)	0	0	0	0	6	-17	23	1
3700316	FUNDA SILIC NEGRA HTC DESIRE (B1092FS01)	0	0	0	0	5	2	3	0
3330166	LG KU990i BLANCO POS UMTS SIG	0	0	0	0	4	1	3	0
3100078	SIM PREPAGO 64K ORANGE 0 EUR.	0	0	0	0	3	3	0	0
3800054	PACK ONLY TARJETA QUIERO + SMS 10 eur	0	0	0	0	3	3	0	0
3330227	NOKIA 5230 BLANCO+ROJO NAVI POS UMTS SIG	0	0	0	0	3	1	2	0
3810024	WP POSPAGO RESIDENCIAL 64K HLR13	0	0	0	0	3	1	2	0
3330150	LG KU990i NEGRO POS UMTS SIG	0	0	0	0	3	0	3	0
3030198	HUAWEI E1752 ROSA IEW	0	0	0	0	2	2	0	0
3800055	PACK ONLY TARJETA QUIERO + MUNDO 10 eur	0	0	0	0	2	2	0	0
3810025	WP POSPAGO RESIDENCIAL 64K HLR33	0	0	0	0	2	2	0	0
1080048	WP POSPAGO RESIDENCIAL 64K HLR40 ORANGE	0	0	0	0	2	0	2	0
3320085	SAMSUNG S3650 NARANJA POS SIG	0	0	0	0	2	0	2	0
3810027	WP POSPAGO RESIDENCIAL 64K HLR61	0	0	0	0	2	0	2	0
3310108	IPHONE 3GS 8GB BLACK POS UMTS	0	0	0	0	1	1	0	0
3320083	SAMSUNG S3650 BLANCO POS SIG	0	0	0	0	1	1	0	0
3320108	LG T310 BLANCO (PLUM) POS SIG	0	0	0	0	1	1	0	0
3330182	ORANGE OSLO BLANCO POS UMTS SIG	0	0	0	0	1	1	0	0
3330195	BLACKBERRY 9700 (ONYX) POS UMTS SIG	0	0	0	0	1	1	0	0
3240156	HUAWEI E160E +PC HP C.MINI 110	0	0	0	0	1	0	1	0
3320076	SAMSUNG S5230 STAR ( ELY) BLANC	0	0	0	0	1	0	1	0
3320077	NOKIA 2330 PLATA POS SIG	0	0	0	0	1	0	1	0
3330091	BLACKBERRY 8120 PINK POS  SIG	0	0	0	0	1	0	1	0
3330105	HUAWEI E160E IEW POS UMTS SIG	0	0	0	0	1	0	1	0
3800046	PACK SIM INICIO 40 MOVIL 2009	0	0	0	0	1	0	1	0
3810002	WP POSPAGO RESIDENCIAL 64K HL	0	0	0	0	1	0	1	0
3320065	LG KP501 BLANCO POS SIG	0	0	0	0	1	-1	2	1
0700729	SIM POSPAGO 64K HLR 10 ORANGE	0	0	0	0	0	0	0	0
10000	Kit polar	0	0	0	0	0	0	0	0
1000727	NOKIA N70 MMS	0	0	0	0	0	0	0	0
1000802	LG KG800 NEGRO ORANGE	0	0	0	0	0	0	0	0
1001044	NOKIA N70 UMTS ORANGE	0	0	0	0	0	0	0	0
1002115	MOTOROLA V360 GRIS SIG. ORANGE	0	0	0	0	0	0	0	0
1003574	NOKIA 6600 MMS POSPAGO	0	0	0	0	0	0	0	0
1003696	MOTOROLA V360 MMS POSPAGO	0	0	0	0	0	0	0	0
1003769	NOKIA 6125 MMS NEGRO POSPAGO	0	0	0	0	0	0	0	0
1003802	LG KG800 NEGRO POSTPAGO ORANGE	0	0	0	0	0	0	0	0
1003806	NOKIA 6125 NEGRO POSPAGO ORANGE	0	0	0	0	0	0	0	0
1005112	MOTOROLA V360 VERDE SIGNA POSPAGO ORANGE	0	0	0	0	0	0	0	0
1005113	MOTOROLA V360 GRIS SIGNST.POSPAGO ORANGE	0	0	0	0	0	0	0	0
1010297	SIM PREPAGO 64K ORANGE 12 EUR.	0	0	0	0	0	0	0	0
1010299	SIM POSPAGO 64K HLR 10 ORANGE	0	0	0	0	0	0	0	0
1010306	SIM POSPAGO 64K HLR32 ORANGE	0	0	0	0	0	0	0	0
1010307	SIM POSPAGO 64K HLR33 ORANGE	0	0	0	0	0	0	0	0
1010309	SIM POSPAGO 64K HLR40 ORANGE	0	0	0	0	0	0	0	0
1010310	SIM POSPAGO 64K HLR41 ORANGE	0	0	0	0	0	0	0	0
1010344	SCRATCH CARD SERVICIOS 3G ORANGE	0	0	0	0	0	0	0	0
1020807	PACK NOKIA 1600 GRIS ORANGE	0	0	0	0	0	0	0	0
1030586	M/L COCHE CK3100	0	0	0	0	0	0	0	0
1080020	WELLCOME PACK HLR 10 EMPRESA	0	0	0	0	0	0	0	0
